tf,cond,seed,metric,delta,n,family
engrailed,frozen,4,mae,-0.009385692614775438,130,induced-fit (test)
engrailed,frozen,5,pearsonr,0.011188017692842852,130,induced-fit (test)
engrailed,frozen,5,spearmanr,0.01790031105503147,130,induced-fit (test)
engrailed,frozen,5,auroc,-0.0037943337711856353,130,induced-fit (test)
engrailed,frozen,5,ic_weighted_pcc,0.005671463821387399,130,induced-fit (test)
engrailed,frozen,5,ic_corr,0.002388671536833903,130,induced-fit (test)
engrailed,frozen,5,mae,-0.0003957770191706144,130,induced-fit (test)
engrailed,relaxed,1,pearsonr,0.08806066315939648,130,induced-fit (test)
engrailed,relaxed,1,spearmanr,0.10622616640607317,130,induced-fit (test)
engrailed,relaxed,1,auroc,0.028997856071760864,130,induced-fit (test)
engrailed,relaxed,1,ic_weighted_pcc,0.06395123086639158,130,induced-fit (test)
engrailed,relaxed,1,ic_corr,-0.03880271077545678,130,induced-fit (test)
engrailed,relaxed,1,mae,-0.05278981328010559,130,induced-fit (test)
engrailed,relaxed,2,pearsonr,0.02126205375659735,130,induced-fit (test)
engrailed,relaxed,2,spearmanr,0.01697218343003393,130,induced-fit (test)
engrailed,relaxed,2,auroc,-0.005195835983335059,130,induced-fit (test)
engrailed,relaxed,2,ic_weighted_pcc,0.02983172838130035,130,induced-fit (test)
engrailed,relaxed,2,ic_corr,-0.0669629392724006,130,induced-fit (test)
engrailed,relaxed,2,mae,-0.005285217441045321,130,induced-fit (test)
engrailed,relaxed,3,pearsonr,-0.051530157005825895,130,induced-fit (test)
engrailed,relaxed,3,spearmanr,-0.02784764415580908,130,induced-fit (test)
engrailed,relaxed,3,auroc,-0.022940700126496155,130,induced-fit (test)
engrailed,relaxed,3,ic_weighted_pcc,-0.05632120875030133,130,induced-fit (test)
engrailed,relaxed,3,ic_corr,-0.04721574889934675,130,induced-fit (test)
engrailed,relaxed,3,mae,0.06269443401923547,130,induced-fit (test)
engrailed,relaxed,4,pearsonr,-0.025811237779259553,130,induced-fit (test)
engrailed,relaxed,4,spearmanr,-0.03289022573887653,130,induced-fit (test)
engrailed,relaxed,4,auroc,-0.001429330067391106,130,induced-fit (test)
engrailed,relaxed,4,ic_weighted_pcc,-0.01578506737299473,130,induced-fit (test)
engrailed,relaxed,4,ic_corr,-0.014473652078605114,130,induced-fit (test)
engrailed,relaxed,4,mae,0.02921251654624939,130,induced-fit (test)
engrailed,relaxed,5,pearsonr,0.0069159552637562335,130,induced-fit (test)
engrailed,relaxed,5,spearmanr,0.013476382363240603,130,induced-fit (test)
engrailed,relaxed,5,auroc,0.01574186281845426,130,induced-fit (test)
engrailed,relaxed,5,ic_weighted_pcc,0.006797539273949142,130,induced-fit (test)
engrailed,relaxed,5,ic_corr,0.03439317067509751,130,induced-fit (test)
engrailed,relaxed,5,mae,-0.01882791266991542,130,induced-fit (test)
