tf,cond,state,bend_uu,bend_pp,shortening,minor_w,major_w,inclin,tip,xdisp,ydisp,minor_w_cp,major_w_cp
dux4,frozen,086,26.849,38.4142,40.2035,8.7546,15.335,8.3863,5.8001,-0.2752,0.0361,7.5405,10.2492
dux4,frozen,087,66.0876,85.6967,32.0742,7.6482,11.1003,9.3368,2.6888,-0.3039,0.0635,7.1052,12.2905
dux4,frozen,088,22.468,28.6976,35.8965,6.664,11.5149,4.2995,1.5205,-0.4592,-0.4665,6.0795,12.2108
dux4,frozen,089,18.5664,26.3667,11.2841,6.0823,11.4125,15.8205,-2.9314,-1.1987,0.3347,5.9757,10.9867
dux4,frozen,090,37.5709,33.9993,28.0959,6.8162,12.2127,3.7408,-11.514,-0.1878,-0.3494,6.4959,12.5518
dux4,frozen,092,28.7983,44.3778,27.3423,5.9296,11.7955,10.376,1.3375,-0.4738,-0.2592,5.7427,11.21
dux4,frozen,093,10.344,17.896,7.1481,6.7055,11.9329,-2.4314,-12.4965,0.8205,-0.7884,6.5521,11.2708
dux4,frozen,094,4.4355,6.7497,6.1192,6.1641,11.0862,9.764,-0.9759,-0.3517,-0.0277,6.1006,10.9615
dux4,relaxed,001,161.6687,29.1577,34.4537,6.5657,11.9195,0.2244,0.1846,0.3666,-0.6818,6.5438,11.1429
dux4,relaxed,002,20.7645,23.6363,45.8398,7.5732,12.0224,4.2643,-7.2262,-0.1278,0.8089,6.6053,10.3925
dux4,relaxed,003,33.9733,22.3254,34.1657,6.6162,13.1219,4.5451,3.6182,-0.449,0.185,6.887,11.95
dux4,relaxed,004,15.99,17.0879,9.5783,4.9691,10.17,5.7717,5.326,-1.4787,-0.1767,5.4623,10.2127
dux4,relaxed,005,48.6755,54.2317,51.4695,9.8747,10.5158,4.2553,12.761,0.1481,-0.1065,7.1453,10.3086
dux4,relaxed,006,8.8333,8.9014,23.455,6.1981,13.9283,7.9672,-7.2378,-0.8101,-0.4925,5.721,14.234
dux4,relaxed,008,31.5383,38.8004,32.0664,7.9309,11.618,9.3057,-2.463,-0.9688,-0.1649,7.1185,11.627
