arm,tf,cond,seed,run,n_epochs,best_epoch,val_min_epoch,val_loss_min,val_loss_final,val_rise_after_min,final_train_val_gap,gap_at_best
baseline,nfat,frozen,4,baseline_nfat_fold0_s4,50,38.0,38,0.6090424046892616,0.6377345716184684,0.02869216692920673,0.23564889510783027,0.1717434679053622
baseline,engrailed,relaxed,4,baseline_engrailed_fold0_dnarelax_s4,50,36.0,36,0.6358665916033023,0.6602337410422238,0.024367149438921487,0.2430379024831298,0.18492573194131257
augmented,err,frozen,3,augmented_err_fold0_s3,50,43.0,43,0.647651267935535,0.6843286773841539,0.03667740944861897,0.2540635612309834,0.20294439068944836
augmented,nfat,frozen,5,augmented_nfat_fold0_s5,50,46.0,46,0.7119137663742038,0.7133173331189673,0.0014035667447634959,0.2049365063919555,0.1831926645648504
baseline,err,frozen,3,baseline_err_fold0_s3,50,15.0,15,0.6306735500352522,0.6550873779302466,0.024413827894994466,0.25717731505870833,0.11348901438750003
augmented,foxa,frozen,3,augmented_foxa_fold0_s3,50,42.0,42,0.6718420883689945,0.6860088198269895,0.014166731457994963,0.29825585481660816,0.27242330261114467
baseline,egr1,frozen,0,baseline_egr1_fold0,50,49.0,49,0.6626770555521656,0.6904689575952587,0.02779190204309312,0.307267636196319,0.28004593605251654
baseline,egr1,frozen,4,baseline_egr1_fold0_s4,50,32.0,32,0.6162880807278348,0.6644340828212745,0.048146002093439666,0.2523551041022233,0.15906342444334892
augmented,err,frozen,1,augmented_err_fold0_s1,50,32.0,32,0.6483480733892341,0.6776942334506229,0.029346160061388793,0.24217916467207218,0.14351241353380728
baseline,foxa,relaxed,3,baseline_foxa_fold0_dnarelax_s3,50,40.0,40,0.6429612223225184,0.6445801053811744,0.0016188830586559844,0.2568098138469815,0.22617290684475394
augmented,lef1,frozen,1,augmented_lef1_fold0_s1,50,41.0,41,0.6442317489338883,0.6518075011354499,0.007575752201561592,0.1953826721821511,0.1671376634666824
augmented,runx,frozen,4,augmented_runx_fold0_s4,50,45.0,45,0.6327265343964688,0.6454064297095911,0.012679895313122302,0.22650794365300903,0.1965891039999264
baseline,engrailed,relaxed,1,baseline_engrailed_fold0_dnarelax_s1,50,39.0,39,0.6778995659874755,0.6782220631913608,0.0003224972038853302,0.22901277807676007,0.21901641973045854
baseline,csl,frozen,5,baseline_csl_fold0_s5,50,17.0,17,0.6080544963395274,0.6481553435082493,0.040100847168721976,0.24740384959044093,0.08883628100533403
baseline,lef1,relaxed,2,baseline_lef1_fold0_dnarelax_s2,50,50.0,50,0.643738230546304,0.643738230546304,0.0,0.2469069277715043,0.2469069277715043
augmented,lef1,frozen,2,augmented_lef1_fold0_s2,50,40.0,40,0.6668483029600633,0.6915209813370333,0.02467267837697007,0.267605275279001,0.2175825984007323
augmented,ets1,relaxed,4,augmented_ets1_fold0_dnarelax_s4,50,23.0,23,0.6862158039568091,0.7010308855924091,0.01481508163559997,0.33269778624554586,0.23035412521775517
augmented,tbp,frozen,2,augmented_tbp_fold0_s2,50,49.0,49,0.6755249612983133,0.6862451245676858,0.010720163269372529,0.2964350366451137,0.28589243048225316
augmented,ets1,relaxed,1,augmented_ets1_fold0_dnarelax_s1,50,31.0,31,0.6646119757321094,0.70996722085388,0.04535524512177058,0.34943877741050167,0.26101038441859004
augmented,runx,frozen,5,augmented_runx_fold0_s5,50,22.0,22,0.6338966932433056,0.6621129535229616,0.02821626027965607,0.24662374391486758,0.13129781619199032
baseline,foxa,frozen,1,baseline_foxa_fold0_s1,50,30.0,30,0.6554972950803563,0.6639138081118157,0.008416513031459405,0.23692116958353654,0.17623913730959395
