pilot,source,pairwise_ca_rmsd
ets1,bioemu,1.3603
ets1,bioemu,1.9138
ets1,bioemu,1.0035
ets1,bioemu,1.3243
ets1,bioemu,1.4662
ets1,bioemu,1.6414
ets1,bioemu,1.4037
ets1,bioemu,1.4239
ets1,bioemu,1.3206
ets1,bioemu,1.3476
ets1,bioemu,1.3995
ets1,bioemu,3.8286
ets1,bioemu,4.0348
ets1,bioemu,3.6838
ets1,bioemu,3.6275
ets1,bioemu,3.6822
ets1,bioemu,3.8995
ets1,bioemu,3.8191
ets1,bioemu,3.8897
ets1,bioemu,3.8466
ets1,bioemu,3.7039
ets1,bioemu,3.5593
ets1,bioemu,3.8979
ets1,bioemu,3.7435
ets1,bioemu,4.022
ets1,bioemu,3.8682
ets1,bioemu,4.4019
ets1,bioemu,3.6691
ets1,bioemu,4.056
ets1,bioemu,3.5189
ets1,bioemu,3.638
ets1,bioemu,3.7717
ets1,bioemu,4.3278
ets1,bioemu,3.8408
ets1,bioemu,3.9229
ets1,bioemu,4.1534
ets1,bioemu,3.9766
ets1,bioemu,4.377
ets1,bioemu,3.5779
ets1,bioemu,4.7473
ets1,bioemu,3.8258
ets1,bioemu,3.7347
ets1,bioemu,4.9321
ets1,bioemu,3.8568
ets1,bioemu,3.549
ets1,bioemu,4.0586
ets1,bioemu,3.8389
ets1,bioemu,3.8892
ets1,bioemu,4.0694
ets1,bioemu,3.9174
ets1,bioemu,3.9252
ets1,bioemu,3.7695
ets1,bioemu,3.808
ets1,bioemu,3.9553
ets1,bioemu,3.9474
ets1,bioemu,3.8779
ets1,bioemu,3.7433
ets1,bioemu,4.0687
ets1,bioemu,3.9163
ets1,bioemu,4.0604
ets1,bioemu,3.9958
ets1,bioemu,3.9662
ets1,bioemu,3.8992
ets1,bioemu,3.7936
ets1,bioemu,4.4141
ets1,bioemu,3.7342
ets1,bioemu,3.8721
ets1,bioemu,3.7107
ets1,bioemu,3.5646
ets1,bioemu,4.0087
ets1,bioemu,3.9361
ets1,bioemu,3.72
ets1,bioemu,3.364
ets1,bioemu,3.8778
ets1,bioemu,3.9739
ets1,bioemu,4.0783
ets1,bioemu,4.1577
ets1,bioemu,3.8486
ets1,bioemu,3.907
