pilot,stage,state,ca_rmsd,nres
foxa,stage3,040,2.7556,102
foxa,stage3,041,3.2639,102
foxa,stage3,042,4.4279,102
foxa,stage3,043,2.511,102
foxa,stage3,044,7.512,102
foxa,stage3,045,2.5163,102
foxa,stage3,046,6.4682,102
foxa,stage3,047,5.6361,102
foxa,stage3,048,1.7921,102
foxa,stage3,049,3.1086,102
foxa,stage3,050,4.8603,102
foxa,stage3,051,2.0257,102
foxa,stage3,052,5.0784,102
foxa,stage3,053,3.8168,102
foxa,stage3,054,3.994,102
foxa,stage3,055,4.2022,102
foxa,stage3,056,6.6753,102
foxa,stage3,057,5.2706,102
foxa,stage3,058,3.9334,102
foxa,stage3,059,3.7645,102
foxa,stage3,060,5.4419,102
foxa,stage3,061,2.6711,102
foxa,stage3,062,5.647,102
foxa,stage3,063,3.0948,102
foxa,stage3,064,4.3856,102
foxa,stage3,065,2.8543,102
foxa,stage3,066,6.5172,102
foxa,stage3,067,2.4868,102
foxa,stage3,068,2.1914,102
foxa,stage3,069,3.582,102
foxa,stage3,070,5.8533,102
foxa,stage3,071,4.1776,102
foxa,stage3,072,3.6396,102
foxa,stage3,073,4.0378,102
foxa,stage3,075,1.9387,102
foxa,stage3,076,5.4883,102
foxa,stage3,077,5.5393,102
foxa,stage3,078,3.8895,102
foxa,stage3,079,2.0607,102
foxa,stage3,080,3.3106,102
foxa,stage3,081,2.5473,102
foxa,stage3,082,7.0362,102
foxa,stage3,083,3.2672,102
foxa,stage3,084,2.4993,102
foxa,stage3,085,5.4134,102
foxa,stage3,086,12.337,102
foxa,stage3,087,3.6337,102
foxa,stage3,088,3.4946,102
foxa,stage3,089,2.5069,102
foxa,stage3,090,4.1795,102
foxa,stage3,091,5.1432,102
foxa,stage3,092,2.7226,102
lef1,stage2,001,4.9156,86
lef1,stage2,002,5.7888,86
lef1,stage2,003,5.3508,86
lef1,stage2,004,7.3844,86
lef1,stage2,005,5.0686,86
lef1,stage2,006,4.5449,86
lef1,stage2,007,6.9956,86
lef1,stage2,008,5.5832,86
lef1,stage2,009,3.7051,86
lef1,stage2,010,6.904,86
lef1,stage2,011,6.3109,86
lef1,stage2,012,4.5209,86
lef1,stage2,013,5.0887,86
lef1,stage2,014,4.5967,86
lef1,stage2,015,17.6013,86
lef1,stage2,016,8.5959,86
lef1,stage2,017,5.7821,86
lef1,stage2,018,3.3362,86
lef1,stage2,019,6.7117,86
lef1,stage2,020,2.804,86
lef1,stage2,021,5.904,86
lef1,stage2,022,4.1287,86
lef1,stage2,023,3.8688,86
lef1,stage2,024,5.5926,86
lef1,stage2,025,2.9652,86
lef1,stage2,026,6.3243,86
lef1,stage2,027,5.0867,86
lef1,stage2,028,5.0189,86
lef1,stage2,029,6.1532,86
lef1,stage2,030,4.4296,86
lef1,stage2,031,4.9732,86
lef1,stage2,032,6.5294,86
lef1,stage2,033,6.2692,86
lef1,stage2,034,3.1629,86
lef1,stage2,035,5.7393,86
lef1,stage2,036,4.6479,86
lef1,stage2,037,5.7149,86
lef1,stage2,038,3.6142,86
lef1,stage2,039,3.682,86
lef1,stage2,040,3.4659,86
lef1,stage2,041,4.7962,86
lef1,stage2,042,8.1223,86
lef1,stage2,043,3.6795,86
lef1,stage2,044,6.3046,86
lef1,stage2,045,6.1468,86
lef1,stage2,046,5.2152,86
