tf,stage,variant,comparison,atom_subset,n_states,median_A,q25_A,q75_A,iqr_A,min_A,max_A
egr1,2,shared,delta_stage1_to_stage2,backbone,98,1.4779474553330063e-06,1.2433507919221994e-06,1.7011041062923119e-06,4.5775331437011246e-07,9.621068219791596e-07,2.1767212819496703e-06
egr1,2,shared,delta_stage1_to_stage2,interface,98,1.3076673756809354e-06,1.131504323232838e-06,1.4040372253729133e-06,2.725329021400754e-07,7.912853720691551e-07,1.966620581765965e-06
egr1,2,shared,delta_stage1_to_stage2,sidechain,98,1.395840860370154e-06,1.2209435637700506e-06,1.6023408121181549e-06,3.813972483481043e-07,7.799396486845633e-07,2.1710910353968473e-06
egr1,2,shared,delta_stage1_to_stage2,total,98,1.409310857422232e-06,1.2134826476767988e-06,1.5640755689433851e-06,3.505929212665864e-07,8.808587361707916e-07,2.265493329085318e-06
egr1,2,shared,vs_reference,backbone,98,1.5757001481778827,1.2735006864916967,1.9753129160811307,0.701812229589434,0.8845355099872036,12.48011989136743
egr1,2,shared,vs_reference,interface,98,2.068886092754538,1.8006600980279328,2.517986661077962,0.7173265630500294,1.490405141564282,11.353346934189085
egr1,2,shared,vs_reference,sidechain,98,2.5145905942558144,2.256289765279619,3.0206084316930424,0.7643186664134234,1.8034985893109496,13.362601754061064
egr1,2,shared,vs_reference,total,98,2.178628068284795,1.859149454337102,2.5644511170208957,0.7053016626837936,1.4676151258432388,12.979210388957389
egr1,3,metal_cage,delta_stage2_to_stage3,backbone,98,0.231956806617923,0.2172040648747143,0.2414723265639157,0.024268261689201404,0.05852186519727355,0.6356602481239032
egr1,3,metal_cage,delta_stage2_to_stage3,interface,98,0.7263147987549068,0.6231963659934415,0.8080819107751029,0.18488554478166142,0.06270324319037093,1.245240541173755
egr1,3,metal_cage,delta_stage2_to_stage3,sidechain,98,0.740734844457758,0.6448155109884425,0.8335863718917463,0.18877086090330386,0.04366300840553507,1.5798546948242702
egr1,3,metal_cage,delta_stage2_to_stage3,total,98,0.5646324648615308,0.49085506819665276,0.6256980727676629,0.13484300457101012,0.05680940428314167,1.2293727072205456
egr1,3,metal_cage,vs_reference,backbone,98,1.5485372509886486,1.2592353646166636,1.9557628223655645,0.6965274577489009,0.8216708991823535,12.478915290427732
egr1,3,metal_cage,vs_reference,interface,98,1.9608211475103698,1.7738208358207073,2.4313473581813425,0.6575265223606352,1.4190019504901306,11.494944461804927
egr1,3,metal_cage,vs_reference,sidechain,98,2.4732395601539245,2.1902650086410054,2.956657432980705,0.7663924243396996,1.7554170479632336,13.551781200264
egr1,3,metal_cage,vs_reference,total,98,2.1183595041292884,1.8056551173723143,2.5401575576738984,0.7345024403015841,1.430746384693429,13.081101080309187
engrailed,0,shared,vs_reference,backbone,97,1.988608784261514,1.6853843360167597,2.5262434110762904,0.8408590750595306,0.7564668233481829,5.508075322699214
engrailed,0,shared,vs_reference,sidechain,97,2.4054420481767402,2.011929928503195,2.9377609130191407,0.9258309845159456,0.9003549087813213,5.771536289575984
engrailed,0,shared,vs_reference,total,97,2.0651151545568824,1.7556761505077785,2.626771952057374,0.8710958015495955,0.7881866778627331,5.561891181817863
engrailed,1,shared,delta_stage0_to_stage1,backbone,97,4.3489869075182297e-07,3.471959310714722e-07,5.035142755520117e-07,1.5631834448053951e-07,1.5611056226714584e-07,7.284499242829136e-07
engrailed,1,shared,delta_stage0_to_stage1,sidechain,97,0.012534771273804823,0.012073096910415387,0.012984663855209244,0.0009115669447938568,0.010482656014140602,0.01519479954810207
engrailed,1,shared,delta_stage0_to_stage1,total,97,0.005673418713133886,0.005433423767574312,0.005826491911148326,0.0003930681435740137,0.004737116896306157,0.006795098724434969
engrailed,1,shared,vs_reference,backbone,97,1.988608784261514,1.6853843360167597,2.5262434110762904,0.8408590750595306,0.7564668233481829,5.508075322699214
engrailed,1,shared,vs_reference,sidechain,97,3.5763383883881,3.157713460978244,4.018497277202732,0.8607838162244881,2.372668504533677,6.779183731811791
engrailed,1,shared,vs_reference,total,97,2.9737828312441468,2.580186214119318,3.3604932561749212,0.7803070420556031,1.911907908985544,6.240642483999007
engrailed,2,shared,delta_stage1_to_stage2,backbone,97,8.903231441254133e-07,7.798964113280732e-07,1.001590659616106e-06,2.2169424828803273e-07,6.341138160336703e-07,1.315517103768475e-06
engrailed,2,shared,delta_stage1_to_stage2,sidechain,97,9.365072753655617e-07,8.290564978662454e-07,1.067410141881158e-06,2.3835364401491254e-07,6.042266567944592e-07,1.3613909573169552e-06
engrailed,2,shared,delta_stage1_to_stage2,total,97,9.280454798826656e-07,8.308921250673357e-07,9.922415469860782e-07,1.613494219187425e-07,5.832104585732749e-07,1.299172745184978e-06
engrailed,2,shared,vs_reference,backbone,97,1.9886088403004678,1.6853841324190126,2.5262433816947807,0.840859249275768,0.7564667898713571,5.508075275623815
engrailed,2,shared,vs_reference,sidechain,97,3.5763382687141743,3.157713386938537,4.018497159801483,0.8607837728629462,2.372668425842564,6.779183505908178
engrailed,2,shared,vs_reference,total,97,2.973782714247883,2.580186112697767,3.3604932573813766,0.7803071446836096,1.9119078463655594,6.240642395368653
engrailed,3,metal_cage,delta_stage2_to_stage3,backbone,95,0.28698577395312846,0.27059600149174895,0.31295890558998485,0.0423629040982359,0.22213523923905482,0.5057281741069183
engrailed,3,metal_cage,delta_stage2_to_stage3,sidechain,95,0.9471496306676495,0.8374957593674108,1.0322203649893815,0.1947246056219707,0.5889777215174198,1.6451248872321558
engrailed,3,metal_cage,delta_stage2_to_stage3,total,95,0.7251425907303989,0.6570566547530419,0.7835215799659376,0.12646492521289576,0.4571528080436136,1.256378622680798
engrailed,3,metal_cage,vs_reference,backbone,95,1.9796815494735884,1.6624009159279725,2.452319525302128,0.7899186093741557,0.7045883580731326,5.460701754394192
engrailed,3,metal_cage,vs_reference,sidechain,95,3.5993366984072406,3.085287065802323,3.9946313447822828,0.90934427897996,2.434777522136096,6.52513321305893
engrailed,3,metal_cage,vs_reference,total,95,2.9972594470611646,2.513533905354355,3.3827232031405496,0.8691892977861948,1.8975464357060536,6.071559603009199
err,0,shared,vs_reference,backbone,92,4.08914371735978,3.089344105040705,5.793471423436303,2.704127318395598,2.069315444053796,19.354819953055053
err,0,shared,vs_reference,sidechain,92,4.307601659211048,3.357072996504113,6.0562044918563505,2.6991314953522374,2.26872731001693,19.469726783171428
err,0,shared,vs_reference,total,92,4.15190003326169,3.116384332539611,5.771999269167011,2.6556149366273996,2.1094527429816408,19.381672387619894
err,1,shared,delta_stage0_to_stage1,backbone,92,4.4831583515421035e-07,3.7404360910774163e-07,5.813172428195983e-07,2.0727363371185668e-07,2.0741080699579053e-07,7.697767872370096e-07
err,1,shared,delta_stage0_to_stage1,sidechain,92,0.012946581536812331,0.012360638195065258,0.013280524208359804,0.000919886013294546,0.011207573019906788,0.014641946283027889
err,1,shared,delta_stage0_to_stage1,total,92,0.005621502772998491,0.005370292760023403,0.0057815450207304225,0.0004112522607070193,0.004902936703455202,0.006309576392895594
